"","Variable","pyears","n","event"
"1","F",1817,31371,192
"2","M",1499,25526,174
"3","1",692,12057,95
"4","2",670,11739,74
"5","3",613,10523,65
"6","4",661,11304,69
"7","5",656,10855,61
"8","0",2154,34801,136
"9","1",875,14959,118
"10","2",215,4476,62
"11","3",50,1530,30
"12","4",15,680,15
"13","5+",6,451,5
