"","names","HR","LCL","UCL"
"SexM","SexM",0.977130400403861,0.759970298781577,1.25634359780134
"simd2020_sc_quintile2","simd2020_sc_quintile2",0.924825593540782,0.653594817176489,1.3086125470868
"simd2020_sc_quintile3","simd2020_sc_quintile3",0.780503582215608,0.530345833781225,1.14865773057566
"simd2020_sc_quintile4","simd2020_sc_quintile4",0.651152680504873,0.433451350052631,0.978194699998507
"simd2020_sc_quintile5","simd2020_sc_quintile5",0.756722078534245,0.511668648567898,1.11913893052449
"n_risk_gps1","n_risk_gps1",2.14334729550883,1.56530062374614,2.93485964259735
"n_risk_gps2","n_risk_gps2",3.45526153460874,2.32995451729055,5.12406237286988
"n_risk_gps3","n_risk_gps3",8.52914797469359,5.40031854353021,13.4707544726918
"n_risk_gps4","n_risk_gps4",8.48743890903188,4.2183007587664,17.0771652743923
"n_risk_gps5+","n_risk_gps5+",16.230024289293,8.06595823450673,32.6574575236628
"variantBA.2","variantBA.2",0.864056374648338,0.614267014974452,1.21542163321513
"variantdelta","variantdelta",NA,NA,NA
"variantother","variantother",NA,NA,NA
"vsv1_0:27","vsv1_0:27",0.000000000132730470368038,0,Inf
"vsv1_28+","vsv1_28+",2.68990485701097,1.36479858080498,5.30157947226439
"vsv2_0:27","vsv2_0:27",3.25726779915747,0.439196287068332,24.1572932828037
"vsv2_28+","vsv2_28+",1.17799644357202,0.713289632428679,1.9454588402518
"vsv3_0:27","vsv3_0:27",0.810082302269438,0.380571938753476,1.72433453343822
"vsv3_28+","vsv3_28+",0.921892813916242,0.588801874899987,1.44341653208011
