"","names","HR","LCL","UCL"
"SexM","SexM",1.02119769817319,0.853957814923583,1.22118999384945
"simd2020_sc_quintile2","simd2020_sc_quintile2",0.807473070263436,0.625739900409552,1.04198686830409
"simd2020_sc_quintile3","simd2020_sc_quintile3",0.709202633804796,0.538687529353031,0.933692258292538
"simd2020_sc_quintile4","simd2020_sc_quintile4",0.672634384204021,0.508832290855102,0.889167261875605
"simd2020_sc_quintile5","simd2020_sc_quintile5",0.713991090683304,0.540483097741463,0.943199296528207
"n_risk_gps1","n_risk_gps1",1.86417857386839,1.50086559785535,2.31543834453652
"n_risk_gps2","n_risk_gps2",2.90276645034306,2.191818148442,3.84432124135239
"n_risk_gps3","n_risk_gps3",5.89417627584869,4.16920381011829,8.33284136564957
"n_risk_gps4","n_risk_gps4",6.68495207180266,4.04906302366198,11.0367717027734
"n_risk_gps5+","n_risk_gps5+",10.0179157327314,5.57638755644464,17.9970697180333
"variantBA.2","variantBA.2",0.842948641498721,0.599872751798161,1.18452190081076
"variantdelta","variantdelta",2.32620838963286,1.38695932632912,3.90151705913418
"variantother","variantother",2.47223527611165,1.46338576108262,4.17657969825347
"vsv1_0:27","vsv1_0:27",0.568231134846114,0.0791718785522744,4.07829937236253
"vsv1_28+","vsv1_28+",0.849206310999525,0.506971071498608,1.42247043112282
"vsv2_0:27","vsv2_0:27",0.688557155323966,0.0959560483202597,4.94091789363246
"vsv2_28+","vsv2_28+",0.467992423115387,0.361817614007949,0.60532406277103
"vsv3_0:27","vsv3_0:27",0.251875363396655,0.160716905814469,0.39473880090395
"vsv3_28+","vsv3_28+",0.523287804833908,0.390945191540484,0.70043098780391
