"","variant_vs","pyears","n","event"
"1","B.1.1.529_uv",396.134702258727,5985,21
"2","B.1.1.529_v1_0:27",7.51266255989049,113,0
"3","B.1.1.529_v1_28+",90.3025325119781,1388,10
"4","B.1.1.529_v2_0:27",7.73442847364819,122,0
"5","B.1.1.529_v2_28+",823.776043805613,11779,36
"6","B.1.1.529_v3_0:27",296.64887063655,4116,10
"7","B.1.1.529_v3_28+",1525.65503080082,24819,106
"8","BA.2_uv",160.229979466119,2861,3
"9","BA.2_v1_0:27",1.96303901437372,29,0
"10","BA.2_v1_28+",35.5099247091034,644,3
"11","BA.2_v2_0:27",1.79630390143737,34,1
"12","BA.2_v2_28+",220.906228610541,3764,10
"13","BA.2_v3_0:27",28.2765229295003,459,0
"14","BA.2_v3_28+",849.48501026694,15534,50
"15","delta_uv",156.966461327858,2461,50
"16","delta_v1_0:27",3.23887748117728,47,1
"17","delta_v1_28+",34.6584531143053,530,3
"18","delta_v2_0:27",3.17590691307324,46,0
"19","delta_v2_28+",618.538535249829,8909,88
"20","delta_v3_0:27",81.8754277891855,1257,10
"21","delta_v3_28+",33.1991786447639,646,16
"22","other_uv",59.1649555099247,881,28
"23","other_v1_0:27",1.42915811088296,21,0
"24","other_v1_28+",13.7522245037645,189,1
"25","other_v2_0:27",1.2703627652293,17,0
"26","other_v2_28+",259.890485968515,3525,33
"27","other_v3_0:27",39.8302532511978,569,5
"28","other_v3_28+",18.2918548939083,319,4
