"","Variable","pyears","n","event"
"1","F",3205,50749,263
"2","M",2566,40315,226
"3","1",1213,19511,136
"4","2",1185,18927,106
"5","3",1062,16843,83
"6","4",1136,17819,80
"7","5",1136,17316,82
"8","0",3713,55672,182
"9","1",1540,24101,153
"10","2",392,7230,74
"11","3",90,2397,47
"12","4",26,993,19
"13","5+",11,671,14
